"id" "x" "y" "phenotype1" "envi" "group" "infinal" "pca_ALL_PC1_scores" "pca_ALL_PC2_scores" "pca_PRUNED_PC1_scores" "pca_PRUNED_PC2_scores" "simID"
0 0.0141942 0.525421 -0.311183 -0.53628 1 TRUE 0.00633425625778321 0.026614792917675 -0.023748527906153 -0.178108231465558 "10920"
1 0.961969 0.705699 -0.385821 -1.0888 2 TRUE 0.054586366559317 0.0374483724379732 0.00286018557499323 0.0172777091488012 "10920"
2 0.0113312 0.218169 0.607501 -0.993632 3 TRUE -0.0379549842302983 0.0410714113788768 -0.0369769388084468 0.00979674486391579 "10920"
3 0.461359 0.203744 -0.209419 0.672866 4 TRUE 0.0544934776532647 -0.0323723537707328 0.00526018525619148 0.0180043544283356 "10920"
4 0.146556 0.65055 -0.393085 -0.204483 5 TRUE 0.0545485044611087 -0.0144807780004834 0.0337980637899708 -0.00922358123982589 "10920"
5 0.982872 0.924977 0.762158 -1.0812 6 TRUE 0.0566499496482781 -0.00359529720226003 -0.0121861892555516 0.0251878440323119 "10920"
6 0.953811 0.0235817 -0.764226 -0.651535 7 TRUE 0.0539271559628597 0.0272721050457194 0.0446637838387663 0.00282512344693822 "10920"
7 0.646374 0.201854 -0.00680779 0.126741 8 TRUE 0.00859283533083402 -0.0306535893236456 0.000636281240148988 -0.00392791069794435 "10920"
8 0.00188469 0.215456 -1.01033 -1.00982 3 TRUE -0.0387190534007262 -0.0220684839332427 0.0549912596730478 -0.00724440160983964 "10920"
9 0.945188 0.699747 -0.5968 -1.00493 2 TRUE -0.0365972645633557 -0.0368047683233725 0.0528196068208951 0.00816545585499251 "10920"
10 0.0264487 0.771608 0.506827 -0.510823 9 TRUE -0.0389273179171588 -0.000844632131568668 0.00839693388447517 0.0116230299939765 "10920"
11 0.571887 0.0261858 1.06781 1.00049 10 TRUE -0.0382927039033285 0.0416884469332486 -0.0264543420033195 5.34852526328284e-05 "10920"
12 0.374824 0.018382 0.545064 0.572937 11 TRUE 0.00851499432454601 0.00660431886686184 -0.0414620843067285 0.0176199809290571 "10920"
13 0.866047 0.36216 -0.866599 -0.230334 12 TRUE -0.0376778336263486 -0.0206632602196702 0.0273555382428828 0.00470525822087994 "10920"
14 0.0111239 0.524461 0.389318 -0.542245 1 TRUE 0.00531763405380889 0.0475311623611481 -0.0363088756381511 -0.158505882067458 "10920"
15 0.52854 0.560696 1.00228 0.905103 13 TRUE 0.00903893571113402 0.0498683925070103 -0.0308728690355629 0.0310578407271716 "10920"
16 0.130353 0.0792723 -0.648416 -0.731 14 TRUE 0.00711192032394687 -0.00849054919138939 -0.00346357852504847 -0.0206247029622239 "10920"
