"id" "x" "y" "phenotype1" "envi" "group" "infinal" "pca_ALL_PC1_scores" "pca_ALL_PC2_scores" "pca_PRUNED_PC1_scores" "pca_PRUNED_PC2_scores" "simID"
0 0.675634 0.986992 -0.0934477 0.288118 1 TRUE -0.00641061346906624 -0.0544680491008336 0.0101842560390386 0.0244687868942135 "10943"
1 0.671173 0.989252 -0.102951 0.290649 1 TRUE -0.00350702687331681 0.0327913485965161 0.000469196518209634 0.00641917694121129 "10943"
2 0.194867 0.249554 1.09294 0.46481 2 TRUE -0.0118667199784761 -0.036608563022794 0.0225053356654155 0.0212346008794462 "10943"
3 0.358549 0.401651 0.334874 0.321532 3 TRUE 0.0390980017702852 -0.0159081242688804 0.017844258005961 0.0304869347849605 "10943"
4 0.60023 0.81083 -0.363244 0.896112 4 TRUE -0.0522303351769839 0.0205587305529856 0.0078292294695776 -0.0112140260380339 "10943"
5 0.38572 0.235156 0.517312 0.672535 5 TRUE 0.0386635391964036 0.0123605401005986 0.0215862332765075 0.0156648089713298 "10943"
6 0.0165063 0.814887 -2.19055 -0.302993 6 TRUE -0.00602173616757696 0.0253895845443005 -0.0887897947182738 0.10589159132543 "10943"
7 0.805125 0.477576 -0.507211 -0.20938 7 TRUE -0.00512459784883295 -0.0327430538865943 -0.0147525965912176 -0.00840703939560177 "10943"
8 0.815607 0.0601748 -0.00235253 0.208995 8 TRUE 0.0379904005692648 -0.00187581505775625 -0.0106141758012933 0.00936799192195475 "10943"
9 0.401509 0.0284156 1.2931 0.381015 9 TRUE 0.037661258977005 0.0019422403598168 0.00752386436119496 -0.0145889778396435 "10943"
10 0.566707 0.143578 -0.449696 0.546447 10 TRUE -0.0547612145544902 -0.0298139331602281 -0.0240470765453299 -0.0336755012136762 "10943"
11 0.789577 0.928034 -0.512723 -0.133075 11 TRUE -0.0552916591303624 -0.0180490606402796 -0.0125578472855197 -0.063026245070267 "10943"
12 0.363626 0.255307 -0.717901 0.692666 5 TRUE -0.00789615109689266 -0.0288327462865574 -0.0197821059807666 -0.014669981746854 "10943"
13 0.334267 0.624366 -1.48692 0.302155 12 TRUE -0.0532307959311312 0.00259772344216055 -0.0243634525919068 -0.0227296711725357 "10943"
14 0.3157 0.63551 -0.287349 0.228049 12 TRUE -0.0105440268260944 -0.013210725239476 -0.00264359550392176 0.00360640748282446 "10943"
15 0.860677 0.396392 -0.0948068 -0.265059 13 TRUE -0.00733483618017457 0.00769762711497427 -0.00657206391078781 0.00389311301675834 "10943"
16 0.384628 0.0262706 -0.355613 0.328702 9 TRUE -0.00479285824693669 0.00693103435239 0.0127022133294407 -0.0243243425688818 "10943"
17 0.676862 0.97782 1.23563 0.299631 1 TRUE -0.0502468843227455 0.00324130239014143 0.0157753368924216 0.0525004996280748 "10943"
18 0.320465 0.789847 -0.571461 0.644254 14 TRUE -0.00743301705145801 -0.0272527039956494 -0.0292084233018176 -0.0166538898894339 "10943"
19 0.0148203 0.0369569 0.275869 -0.659615 15 TRUE -0.00768690868815806 -0.0212485451375154 0.00117398340916886 -0.00940777254293219 "10943"
20 0.663233 0.418258 0.0171816 0.186485 16 TRUE -0.00523678712282767 -0.0113616962361356 0.000566643685992002 -0.00121155717571583 "10943"
21 0.0081886 0.479303 0.0015842 -0.694273 17 TRUE 0.0362540427250796 -0.00450401233911066 -5.65633015835871e-05 -0.0152112337618762 "10943"
22 0.0587866 0.777068 -0.0919598 -0.21577 18 TRUE -0.00592776319663141 0.00252796917767072 -0.0370040425984108 -0.0310102962229753 "10943"
23 0.667171 0.99031 0.408077 0.294167 1 TRUE 0.0389981480716365 -0.0182600917680017 0.0337289393629407 0.0357620114004457 "10943"
24 0.792955 0.936997 0.0250796 -0.16351 11 TRUE -0.0104972607182917 -0.0186549708582602 -0.0066993654276045 -0.0351594928004927 "10943"
25 0.0287811 0.0385396 -0.815001 -0.620268 15 TRUE -0.0502960195982141 0.0181487147435053 -0.051879598584132 -0.0057025045831174 "10943"
26 0.394052 0.00342361 -0.608844 0.321801 9 TRUE 0.0403329407825547 -0.000748998473181607 -0.00537617289166813 -0.0144910214628323 "10943"
27 0.843343 0.731076 -0.606007 -0.452328 19 TRUE -0.0040168066426287 0.0372866861298055 -0.0216038883878494 0.00595800156191537 "10943"
28 0.312539 0.612207 0.659821 0.141825 12 TRUE -0.0105220376507169 -0.0530217515454711 0.0289511138415244 0.0657471890590277 "10943"
29 0.0562947 0.77956 0.0950841 -0.219418 18 TRUE -0.00787493271888259 -0.0370534166292359 -0.0305619589103011 -0.0220727679565175 "10943"
30 0.667504 0.98255 0.288783 0.306244 1 TRUE 0.035479371485407 -0.0205565104681078 0.0311655704156985 0.0188332740607165 "10943"
31 0.323564 0.785648 -0.449597 0.65319 14 TRUE 0.0356272241279529 -0.0442448788667551 -0.05178592337553 -0.00159297105142589 "10943"
32 0.00751348 0.460424 -0.750151 -0.679035 17 TRUE -0.00575291362519398 0.0503989390593234 -0.0089172722141099 -0.0377417158245807 "10943"
33 0.783998 0.92842 -0.309782 -0.0874133 11 TRUE 0.0358666889694818 0.000429060103324092 -0.00402360679063081 -0.024027123702518 "10943"
34 0.979824 0.979184 0.183432 -1.76268 20 TRUE 0.0373812338402205 0.00356108536021098 0.0332567310161052 0.00416513053855883 "10943"
35 0.684204 0.448123 0.216669 0.105234 16 TRUE -0.00972465266030849 -0.0605348390800323 0.0265612478521992 0.00835116160812846 "10943"
36 0.604391 0.810533 -1.18958 0.877575 4 TRUE -0.0540714952731772 0.016141869580263 -0.0313232133879854 -0.0412140413053891 "10943"
37 0.431116 0.670577 0.844594 1.00065 21 TRUE 0.0366696077000159 -0.0630094526152461 0.029968870751 0.0319359556304533 "10943"
38 0.0737543 0.989289 0.498577 0.107473 22 TRUE -0.00842901269762048 -0.0420408285209063 -0.00238049596691271 -0.0114208144028238 "10943"
39 0.207108 0.243552 -0.717901 0.509039 2 TRUE -0.00664538138265187 -0.00122660076652581 -0.0367979694922737 -0.00944983003634599 "10943"
40 0.982467 0.96838 -0.717028 -1.77035 20 TRUE -0.00613590231493753 0.0263208927529613 -0.0553998019878224 0.067986233077949 "10943"
41 0.777504 0.93819 -0.461064 -0.0362624 11 TRUE 0.035303756716584 -0.0363536372227146 -0.0236905042575394 -0.0215402145720727 "10943"
42 0.97552 0.977245 -2.31769 -1.72357 20 TRUE 0.0426138495167088 0.0623227418606463 -0.121277960798289 0.130827258269926 "10943"
43 0.398569 0.124043 0.109653 0.510234 23 TRUE -0.0514655064053366 0.0213543021861603 -0.00844640154620981 -0.0398287135511354 "10943"
44 0.0773963 0.990078 0.593622 0.128409 22 TRUE -0.0569784427096528 -0.0470047786235059 0.0115140638327026 -0.0277566557064515 "10943"
45 0.983619 0.976702 -2.53686 -1.79149 20 TRUE 0.0366136101424444 0.028583041287513 -0.118671572929633 0.0866762585279026 "10943"
46 0.447016 0.971744 0.650147 0.683259 24 TRUE 0.0390345794705091 0.0515695616673764 0.0302896724633631 0.0188013195670461 "10943"
47 0.23494 0.914194 0.501976 0.720504 25 TRUE 0.0375192498204803 0.0042666271168932 0.0215223237267674 0.0357691764904239 "10943"
48 0.987385 0.469102 0.0604581 -0.370551 26 TRUE -0.00452561851670234 0.00457483967388826 0.00503803994787411 0.0479229909615502 "10943"
49 0.427281 0.978471 0.831573 0.699805 24 TRUE -0.00779897510085333 -0.0446293592630768 0.0183887185477115 0.0191508470296035 "10943"
50 0.646209 0.0393514 1.04817 0.58712 27 TRUE -0.00308383705416208 0.00787764648688365 0.0438168814449097 0.00606387680411701 "10943"
51 0.820375 0.716255 -0.0179838 -0.293392 19 TRUE 0.0390063601660679 0.00162410979686528 0.00626827051264436 0.0153628275542195 "10943"
52 0.971152 0.952603 -3.39458 -1.65442 20 TRUE -0.0091558710546981 -0.00686071820896853 -0.117233440562409 0.0754661817765255 "10943"
53 0.517195 0.583731 0.692151 1.04517 28 TRUE -0.00037317309671176 0.00150564972231782 0.0603614166429003 0.0321124025875121 "10943"
54 0.0740742 0.993019 -0.0471222 0.114238 22 TRUE -0.0545531431329866 -0.0376684402170494 0.0194913651959119 -0.00349004275720797 "10943"
55 0.65155 0.0210467 0.411222 0.615878 27 TRUE -0.00635246474257801 0.0130579346311914 0.0209161348061823 0.00300301631099116 "10943"
56 0.803014 0.485061 0.118596 -0.208985 7 TRUE -0.00614228678583956 0.0289648930666333 0.000868294042139975 -0.0257005263559469 "10943"
57 0.0852612 0.999942 -0.0874068 0.186107 22 TRUE -0.00723713991579542 -0.00529119561790208 -0.0121297136754369 -0.0384523224608606 "10943"
58 0.218332 0.932438 1.07877 0.707204 25 TRUE -0.00849312605157057 0.00648087372989658 0.0340524360843205 0.00134481013056941 "10943"
59 0.603455 0.827623 0.931949 0.833855 4 TRUE -0.0105937109405097 -0.0426336864250196 0.0307869959409286 0.0505586508417852 "10943"
60 0.821642 0.0739865 0.328129 0.156506 8 TRUE 0.0376221151800909 -0.0205521354711913 0.0153123916723364 0.0250090732213051 "10943"
61 0.00973498 0.821733 -2.60327 -0.320617 6 TRUE -0.052674706293998 0.0388370315910327 -0.117624378499115 0.107722761359879 "10943"
62 0.0558083 0.776817 -0.271756 -0.223696 18 TRUE 0.0411470837694568 0.0304860256049241 -0.039414634485094 0.0182343955792203 "10943"
63 0.622119 0.82795 0.335568 0.752057 4 TRUE -0.00609188768679152 -0.0108069175800022 0.0474695315609516 0.0199713385875555 "10943"
64 0.638056 0.28747 0.659712 0.263654 29 TRUE -0.00554141242393756 0.0403108212991792 0.028301402169572 -2.11929641446004e-05 "10943"
65 0.202773 0.23502 0.325581 0.460555 2 TRUE -0.00583132890715064 -0.00148645463423463 0.0150696540797451 0.0198701072747759 "10943"
66 0.544275 0.11284 -0.479743 0.600924 10 TRUE -0.0082635163640972 -0.00564196847582386 -0.0111092847291115 0.0085588607692662 "10943"
