"group" "id" "x" "y" "phenotype1" "envi" "group_env" "new_group"
"241" 7 88 0.252947 0.0485709 -0.622924 -0.0503364 0.2 21
"494" 18 89 0.0414 0.766026 0.047047 -1.08696 -1.1 1
"165" 5 90 0.0120508 0.287004 1.06298 -0.422118 -0.4 12
"475" 16 91 0.282292 0.513541 -0.44583 0.449598 0.4 30
"429" 14 92 0.343682 0.252314 0.265014 -0.214766 -0.2 17
"336" 10 93 0.224664 0.967917 0.0677639 0.204738 0.2 22
"448" 15 94 0.346746 0.800407 0.41601 0.310569 0.3 26
"712" 26 95 0.740638 0.986316 -0.337181 -0.46236 -0.5 9
"530" 19 96 0.0268773 0.16971 -0.75119 -0.494479 -0.5 8
"170" 5 97 0.012744 0.319052 0.169297 -0.417936 -0.4 12
"438" 15 98 0.347501 0.795448 0.40018 0.31406 0.3 26
"747" 28 99 0.462781 0.80732 0.599932 0.671005 0.7 33
"976" 36 100 0.518672 0.258878 1.02297 0.987129 1 38
"10" 1 101 0.596504 0.737552 0.16803 0.781528 0.8 34
"63" 3 102 0.458339 0.0228298 1.15984 1.52509 1.6 39
"393" 12 103 0.766233 0.0472228 -0.501076 0.255416 0.3 25
"380" 12 104 0.76331 0.00281424 -0.51407 0.211884 0.3 25
"607" 23 105 0.780921 0.73023 -0.199117 0.278379 0.3 27
"583" 21 106 0.639687 0.125177 1.93681 0.892696 0.9 36
"679" 25 107 0.0235203 0.993045 -0.732037 -0.106615 -0.2 18
"366" 12 108 0.744456 0.00869944 0.64302 0.338475 0.3 25
"473" 16 109 0.306686 0.46754 0.177054 0.40619 0.4 30
"243" 7 110 0.267049 0.0427843 0.274607 0.0766123 0.2 21
"164" 5 111 0.00734089 0.321589 -0.300975 -0.413815 -0.4 12
"626" 24 112 0.205799 0.218702 -0.376258 -0.756402 -0.8 2
"734" 27 113 0.932673 0.7681 0.409896 -0.755789 -0.7 4
"302" 9 114 0.44923 0.40969 0.659638 0.835481 0.7 32
"614" 23 115 0.780563 0.726667 0.687184 0.282052 0.3 27
"945" 35 116 0.142359 0.839236 0.621666 -0.364607 -0.5 10
"565" 21 117 0.621175 0.13166 0.939396 0.959642 0.9 36
"90" 3 118 0.457831 0.026134 1.38239 1.50925 1.6 39
"580" 21 119 0.648003 0.117612 0.994015 0.8645 0.9 36
"933" 34 120 0.954056 0.588481 -0.349008 -0.64114 -0.7 5
"965" 36 121 0.520126 0.261812 1.4744 0.9856 1 38
"246" 7 122 0.270428 0.00707644 -0.0788867 0.256687 0.2 21
"956" 36 123 0.51757 0.262499 1.33641 0.990175 1 38
"779" 29 124 0.90156 0.481728 -0.664232 -0.205161 -0.2 19
"503" 18 125 0.0526887 0.75868 -1.2605 -1.06283 -1.1 1
"947" 35 126 0.122693 0.827378 -0.738856 -0.481228 -0.5 10
"863" 32 127 0.422686 0.967695 -0.569996 0.292844 0.3 28
"197" 6 128 0.945687 0.965007 0.346854 -0.399472 -0.4 13
"602" 22 129 0.97529 0.13668 -0.442894 -0.643169 -0.7 3
"615" 23 130 0.785485 0.729469 -0.218194 0.247568 0.3 27
"452" 16 131 0.2912 0.50892 -0.714752 0.483838 0.4 30
"100" 4 132 0.808424 0.230502 -0.285994 0.348412 0.3 23
"81" 3 133 0.46172 0.0221055 1.20006 1.55182 1.6 39
"925" 34 134 0.970585 0.579181 -0.496785 -0.715222 -0.7 5
"420" 14 135 0.359728 0.249705 -0.779744 -0.0945617 -0.2 17
"828" 31 136 0.638558 0.469639 0.63807 0.777206 0.8 35
"61" 3 137 0.461942 0.00960752 0.918627 1.59943 1.6 39
"990" 37 138 0.0556256 0.00536603 -0.228069 -0.47495 -0.5 11
"395" 12 139 0.752539 0.0110745 1.14185 0.29069 0.3 25
"694" 26 140 0.756535 0.98722 -0.571235 -0.489105 -0.5 9
"868" 32 141 0.424251 0.949349 0.154559 0.322636 0.3 28
"347" 10 142 0.206632 0.983 -0.722238 0.198901 0.2 22
"725" 27 143 0.929983 0.78531 1.10183 -0.70896 -0.7 4
