"id" "x" "y" "phenotype1" "envi" "group" "infinal" "pca_ALL_PC1_scores" "pca_ALL_PC2_scores" "pca_PRUNED_PC1_scores" "pca_PRUNED_PC2_scores" "simID"
0 0.143451 0.987492 1.40562 -0.228794 1 TRUE -0.0337063534800352 -0.0429012277016185 0.0280303426636173 0.00173367524508452 "11049"
1 0.20261 0.00760707 1.37728 -0.411461 2 TRUE -0.0327611493872027 -0.0165610730364614 0.00943558438168492 -0.0277972829332588 "11049"
2 0.698919 0.299555 1.23419 0.295949 3 TRUE 0.0146519424903013 -0.0328544507018461 0.0171454488786906 -0.0181937574633515 "11049"
3 0.229221 0.0875136 -0.266972 -0.158212 2 TRUE 0.0152908875843871 0.00796890780157817 -0.0122065478631206 0.040654639131031 "11049"
4 0.333769 0.590622 0.477001 0.287822 4 TRUE -0.035762922922257 -0.00167802896635384 0.00729168090436472 0.0230961360978388 "11049"
5 0.631094 0.470861 0.623453 0.304493 5 TRUE -0.0349401603828802 -0.070427346395153 0.0890331015141454 -0.0376160211373438 "11049"
6 0.014873 0.301035 -0.261178 -0.689669 6 TRUE 0.0135681642392438 0.0133411228981635 -0.0103147785228158 0.0353015812606766 "11049"
7 0.921592 0.991216 -0.508594 -1.08307 7 TRUE 0.0157839762460678 0.00567624915118925 -0.00270435841346369 -0.00602640724687866 "11049"
8 0.78815 0.948576 -0.221019 -0.667465 8 TRUE 0.0147629386453969 0.0436405890369153 -0.0341055398422042 0.00203240919438406 "11049"
9 0.0823812 0.729602 -1.23302 -0.885162 9 TRUE 0.0136547739920555 0.0216098921850888 -0.035038548896453 0.0136848108957151 "11049"
10 0.331255 0.598393 0.378883 0.294681 4 TRUE 0.0121350582442104 0.0245664928897358 -0.0274388974544592 -0.018524068672429 "11049"
11 0.708675 0.814194 -0.95173 0.0533916 10 TRUE -0.033760166662718 0.0138308851182485 -0.0104455156850519 -0.00079943728087472 "11049"
12 0.976086 0.953557 -1.19884 -1.01707 11 TRUE 0.0629509068199453 0.0526092125578945 -0.0597600881910225 -0.114607169597832 "11049"
13 0.780223 0.954827 -0.889653 -0.672089 8 TRUE 0.0140789952332809 0.0163283568854522 -0.0276426332047231 -0.0333027730357015 "11049"
14 0.124265 0.974203 2.31789 -0.279868 1 TRUE -0.0343489467178944 -0.063846745758425 0.0701843641555179 -0.0436541873338289 "11049"
15 0.9714 0.493255 -0.808625 -0.933662 12 TRUE 0.0142240686950643 0.011233045581827 -0.00846290543787731 0.011497394884476 "11049"
16 0.797436 0.958154 -0.702113 -0.713279 8 TRUE 0.0151834304041903 0.0445645087778359 -0.058142968933765 -0.0710279954166442 "11049"
17 0.100556 0.0115717 -0.174338 -0.449026 13 TRUE -0.0340957138860995 0.0259908476156056 -0.0235300859555162 0.00797732273037302 "11049"
18 0.820397 0.281024 -0.482897 -0.292869 14 TRUE -0.0363078511023634 0.0429972852053377 -0.0214771422801208 0.00403572865215916 "11049"
19 0.805227 0.92969 0.323641 -0.636943 8 TRUE -0.0346078462290966 0.0131444013283201 -0.0091128382780092 0.0292372703375658 "11049"
20 0.220094 0.0125681 -0.553028 -0.389838 2 TRUE -0.0336359269038912 0.00498694450924188 -0.0129702577736179 -0.0110472066184928 "11049"
21 0.305006 0.354509 0.622248 0.338677 15 TRUE 0.0639578710330151 -0.0258712162779095 0.0152806730721014 -0.00698625235262345 "11049"
22 0.114965 0.0196472 0.385165 -0.43105 13 TRUE 0.0140832300579136 -0.00694037153758471 0.00894197703911954 -0.0117677488991769 "11049"
23 0.77392 0.604361 0.995417 -0.217646 16 TRUE 0.0144269946912116 -0.0442020618846878 0.0436857785821758 -0.00897621925443278 "11049"
24 0.228605 0.167786 0.679497 0.0834555 17 TRUE -0.0339573882275228 0.00116684810573258 -0.00764719755374206 0.000884651518848523 "11049"
25 0.0771215 0.713469 -0.432562 -0.929057 9 TRUE 0.0165783918698891 0.0350699764032816 -0.0408902837201799 -0.102692130500194 "11049"
26 0.511337 0.347522 -0.988234 1.16089 18 TRUE 0.0143892299561224 0.0205961391570928 -0.016877926004304 -0.00252701119918905 "11049"
27 0.106357 0.987349 0.324623 -0.286946 1 TRUE -0.0346807898688751 0.00428028544959098 -0.00635373478888434 -0.00463560493728637 "11049"
28 0.512874 0.358667 -1.27656 1.12255 18 TRUE 0.0151858070405147 0.0295649753876653 -0.00478308207391411 0.0231435749717965 "11049"
29 0.507989 0.361506 -0.0262361 1.13895 18 TRUE 0.0158602389222609 0.0249961573235362 -0.00997400199538186 0.0551455250898419 "11049"
30 0.916476 0.283011 -0.094424 -0.760295 19 TRUE 0.0162134377147945 0.0237721820280075 -0.0234022411705304 0.0331652343284206 "11049"
31 0.707968 0.803499 -0.603995 0.0968378 10 TRUE 0.0632276565846546 0.023736672500147 -0.0241530041277341 -0.0119190144930685 "11049"
32 0.4736 0.772599 1.82086 1.71602 20 TRUE 0.0138924209791695 -0.0449848903008538 0.04650848875037 -0.0507693137722669 "11049"
33 0.51272 0.8894 -1.17577 0.878405 21 TRUE 0.0144975807660894 0.0387616452008299 -0.0602503898603842 -0.0858062984385946 "11049"
34 0.00915578 0.197325 -0.384182 -0.517792 22 TRUE -0.0333548561315515 0.0263823070544608 -0.0263737720205285 0.0129756244329439 "11049"
35 0.0771066 0.0408975 -0.825714 -0.435427 13 TRUE 0.0139676613788724 0.013314083279553 -0.0254051324643942 0.0330880701863062 "11049"
36 0.745886 0.622725 -0.0520195 -0.138162 23 TRUE 0.0160895593643609 0.051939456989796 -0.0460951048035087 0.0154983530147994 "11049"
37 0.0745795 0.0392609 -0.465807 -0.439 13 TRUE 0.0141547064268335 0.0288662585358741 -0.036656251262846 0.0371495534650441 "11049"
38 0.35622 0.0388648 1.05781 0.130977 24 TRUE -0.033668764259901 -0.0273296013149876 0.0308534877936156 -0.0111414383404797 "11049"
39 0.156628 0.979708 4.10119 -0.216475 1 TRUE 0.0640903810302614 -0.0422710738359883 0.0417820537052042 -0.0216149266071526 "11049"
40 0.795586 0.965573 -1.45568 -0.732799 8 TRUE -0.0327031190982915 0.0170531551201042 -0.0248466985736072 -0.084881533653267 "11049"
41 0.0464451 0.3327 -0.615274 -0.675595 6 TRUE 0.0142242921112281 -0.00172250026568077 -0.00787053121616915 0.0231427177256074 "11049"
42 0.98587 0.813871 0.0764297 -0.341263 25 TRUE 0.0148476538635678 0.0358582058443545 -0.0145899470178633 0.047585455573938 "11049"
