id x y phenotype1 envi 
129 0.829875 0.986981 -0.540365 -0.190661 
130 0.62374 0.396278 0.0564396 0.6951 
131 0.946124 0.660591 -0.164683 -1.01538 
132 0.942192 0.150507 -0.946304 -0.991786 
133 0.639864 0.39937 -0.341175 0.631676 
134 0.987811 0.453948 -0.19596 -0.763403 
135 0.313246 0.547905 -0.55844 0.277636 
136 0.269279 0.917965 -0.892974 0.189124 
137 0.0306956 0.543112 -0.182428 -0.462173 
138 0.289323 0.17786 -0.337607 -0.337352 
139 0.787005 0.715962 0.357865 0.125193 
140 0.216832 0.465505 0.937686 -0.0938991 
141 0.243889 0.768977 0.327662 -0.287886 
142 0.0301232 0.550969 -1.14017 -0.477587 
143 0.95492 0.712979 -1.04156 -1.27727 
144 0.362717 0.285998 -0.394505 0.288833 
145 0.826099 0.609771 -0.369767 -0.117573 
146 0.232072 0.000767927 -0.892974 -1.04274 
147 0.0231833 0.196347 -0.615983 -0.526741 
148 0.988751 0.444819 -0.866003 -0.803709 
149 0.03261 0.814415 -0.363936 -0.788567 
150 0.793901 0.234843 0.129679 -0.247802 
151 0.932278 0.905118 -0.529443 -0.887134 
152 0.628157 0.031062 -0.22603 -0.0108193 
153 0.404667 0.996043 -0.269552 0.409875 
154 0.489173 0.0653931 -0.0020977 0.530141 
155 0.548611 0.862565 -0.00664134 0.500079 
156 0.962713 0.738329 -1.51241 -1.44329 
157 0.237906 0.0105159 -1.2807 -1.02225 
158 0.365485 0.269224 0.418935 0.275176 
159 0.762725 0.721552 0.643203 0.333293 
160 0.82844 0.587937 0.300691 -0.112572 
161 0.825088 0.99518 -0.27626 -0.16411 
162 0.296968 0.605237 0.380292 0.0953306 
163 0.770555 0.0746654 -1.08684 -0.447473 
164 0.839478 0.574326 0.0959476 -0.15744 
165 0.971501 0.017224 -1.08684 -0.645824 
166 0.976788 0.673154 -1.02192 -1.28832 
167 0.832286 0.564711 -0.0202017 -0.111309 
168 0.951139 0.86661 0.485419 -1.10309 
169 0.967042 0.0155578 -0.988791 -0.638594 
170 0.783752 0.228989 0.705931 -0.192131 
171 0.828657 0.988721 -0.251108 -0.183879 
172 0.309341 0.0961879 -2.09812 -0.445862 
173 0.9529 0.860377 0.558689 -1.13093 
174 0.736597 0.709097 -0.656486 0.448017 
175 0.835169 0.600253 0.116147 -0.161862 
176 0.295754 0.586163 0.451688 0.121213 
177 0.974523 0.221477 -1.65645 -1.38071 
178 0.298346 0.610523 0.233051 0.0931472 
179 0.828709 0.991253 -0.0759671 -0.183386 
180 0.750473 0.666455 -1.38962 0.386239 
181 0.253651 0.763852 -0.42212 -0.274194 
182 0.787437 0.716793 1.00904 0.121625 
183 0.846441 0.571843 -0.360486 -0.190008 
184 0.20166 0.960113 0.550711 0.0717199 
185 0.752026 0.724423 0.432467 0.42736 
186 0.241155 0.753512 0.0167613 -0.338719 
187 0.340778 0.35617 -0.324075 0.288726 
188 0.827046 0.620388 -0.0955675 -0.132084 
189 0.830734 0.591725 0.147254 -0.128564 
190 0.985134 0.207554 -0.866003 -1.39184 
191 0.588047 0.750107 0.774979 0.575705 
192 0.207942 0.955238 -0.236572 0.0875776 
193 0.831813 0.61652 -1.61046 -0.157998 
194 0.223129 0.0246701 -0.77473 -0.966617 
195 0.939778 0.15852 -1.14017 -1.00266 
196 0.741059 0.724706 0.295779 0.454668 
197 0.0242915 0.550214 -0.353262 -0.487239 
198 0.584618 0.753329 0.607886 0.574967 
199 0.81897 0.60098 -0.324075 -0.0694038 
200 0.94747 0.15305 -0.747759 -1.02084 
201 0.973692 0.701579 0.447112 -1.38574 
202 0.597708 0.744636 0.447112 0.577677 
203 0.940227 0.937664 -0.578639 -0.867096 
204 0.982747 0.516938 0.545158 -0.638001 
205 0.712702 0.907051 -0.676685 0.332845 
206 0.960112 0.145554 0.970734 -1.05026 
207 0.358662 0.276977 -0.0020977 0.253255 
208 0.736821 0.672408 -0.318748 0.420717 
209 0.162516 0.395252 -0.27626 -0.246987 
210 0.21619 0.471167 1.3478 -0.0880873 
211 0.538074 0.832005 -0.167845 0.535264 
212 0.120324 0.194836 -0.181056 -0.51592 
213 0.368218 0.244516 -0.435652 0.244024 
214 0.810679 0.418031 0.545158 -0.0955856 
215 0.162783 0.427196 0.0226768 -0.21667 
216 0.804658 0.0252109 -0.95506 -0.576204 
217 0.76576 0.0753825 -0.892974 -0.436258 
218 0.0531544 0.964669 0.148538 -0.58743 
219 0.973832 0.866262 0.182446 -1.2676 
220 0.0587555 0.966952 1.10251 -0.559896 
221 0.478671 0.346445 0.826861 0.999347 
222 0.983401 0.675645 -1.99553 -1.34855 
223 0.256898 0.758742 0.129679 -0.276825 
224 0.805474 0.414662 -0.676685 -0.076441 
225 0.038544 0.787201 0.790444 -0.792121 
226 0.649452 0.393554 1.43685 0.584843 
227 0.0142368 0.542499 -0.411199 -0.491907 
228 0.168403 0.428444 -0.435652 -0.207525 
229 0.941968 0.17084 -0.841229 -1.04511 
230 0.783785 0.0665311 -0.222931 -0.48863 
231 0.804801 0.0356844 0.824175 -0.563436 
232 0.78843 0.0708007 0.3424 -0.489575 
233 0.539782 0.862331 0.447112 0.506835 
234 0.650958 0.382322 -0.209399 0.565692 
235 0.025241 0.202718 0.116147 -0.517846 
236 0.93908 0.170148 -0.416793 -1.02969 
237 0.305703 0.609921 0.22318 0.129848 
238 0.963404 0.736221 -1.2668 -1.44103 
239 0.534158 0.828031 -0.137775 0.541627 
240 0.956463 0.723618 -1.00783 -1.33098 
241 0.961673 0.214446 -1.23307 -1.27888 
242 0.27683 0.173823 0.549701 -0.415633 
243 0.0112605 0.79202 -0.734227 -0.863631 
244 0.837906 0.576437 0.385176 -0.151663 
245 0.985117 0.672219 -2.00452 -1.34597 
246 0.221793 0.00883179 -0.222931 -1.00828 
247 0.00836156 0.764339 -0.803285 -0.884781 
248 0.28079 0.188255 -0.28943 -0.35428 
249 0.968378 0.667413 -0.968592 -1.20224 
250 0.0225263 0.550164 -0.0020977 -0.490486 
251 0.97857 0.0117782 -0.0830428 -0.628167 
252 0.952586 0.881088 0.398736 -1.07838 
253 0.845112 0.278452 -0.120342 -0.525814 
254 0.279439 0.203903 0.187863 -0.317951 
255 0.958162 0.215555 -0.676685 -1.26143 
256 0.994198 0.454083 -0.55844 -0.788829 
257 0.00411455 0.767654 -0.0958884 -0.893873 
258 0.0232286 0.201522 -0.812041 -0.51982 
259 0.75605 0.726511 -0.676685 0.394389 
260 0.955145 0.745527 -2.00906 -1.40303 
261 0.306252 0.581418 1.10251 0.182189 
262 0.94187 0.90831 -0.747759 -0.94276 
263 0.234535 0.0269889 0.418935 -0.972118 
264 0.80137 0.235925 -0.00582134 -0.295203 
265 0.203619 0.963818 0.300691 0.0895813 
266 0.173141 0.421135 -0.00550043 -0.208047 
267 0.782253 0.717455 0.607886 0.165514 
268 0.49012 0.054589 0.529502 0.516117 
269 0.299461 0.601862 0.676934 0.113223 
270 0.601249 0.74031 -0.0506519 0.581426 
271 0.647145 0.021824 0.647747 -0.113265 
272 0.0129363 0.553842 0.0114342 -0.515477 
273 0.265915 0.919544 1.20056 0.189012 
274 0.97882 0.00116713 -0.77473 -0.588802 
275 0.822545 0.981058 -0.00664134 -0.154133 
276 0.361342 0.274084 0.328868 0.262143 
277 0.95404 0.879394 -1.34945 -1.09265 
278 0.00802178 0.766556 -1.03729 -0.884577 
279 0.379188 0.365661 -0.892974 0.507963 
280 0.456361 0.378353 -0.540365 0.941807 
281 0.573955 0.406156 0.913232 0.918044 
282 0.00501019 0.775374 -1.58568 -0.888218 
283 0.295537 0.605392 -0.435652 0.0880833 
284 0.374766 0.35975 0.643203 0.474532 
285 0.831871 0.988607 -0.198156 -0.200347 
286 0.251353 0.757912 -0.176513 -0.29984 
287 0.17052 0.977843 -0.553897 -0.0297478 
288 0.027087 0.776978 -1.22885 -0.829973 
289 0.768218 0.0701513 -0.794929 -0.453051 
290 0.771282 0.0725295 -0.892974 -0.453573 
291 0.347348 0.147544 -0.892974 -0.100956 
292 0.694947 0.888717 -0.892974 0.365131 
293 0.372377 0.106439 -0.231696 -0.0599829 
294 0.224473 0.019816 -1.14017 -0.981322 
295 0.951582 0.176649 -0.857015 -1.10758 
296 0.0171775 0.538626 -0.315087 -0.479215 
297 0.238172 0.757965 -0.030275 -0.333267 
298 0.839063 0.274464 -0.319531 -0.493554 
299 0.485839 0.0582231 -0.529443 0.497396 
300 0.987755 0.516281 0.447112 -0.654055 
301 0.98572 0.000742028 0.71524 -0.586466 
302 0.0200713 0.548653 -0.127384 -0.492337 
303 0.298656 0.596818 -0.318748 0.117791 
304 0.334534 0.130106 -0.892974 -0.21555 
305 0.847523 0.987346 -0.747759 -0.281148 
306 0.286358 0.591512 -0.0621575 0.0654776 
307 0.0811689 0.990075 -0.574096 -0.430123 
308 0.54854 0.862052 0.545158 0.500595 
309 0.678879 0.883838 1.01128 0.38223 
310 0.831271 0.593202 -0.446863 -0.132918 
311 0.168153 0.387606 -1.08684 -0.247319 
312 0.0682526 0.184919 0.145144 -0.539162 
313 0.970566 0.214982 -1.05055 -1.33373 
314 0.946419 0.183535 0.636883 -1.1016 
315 0.311214 0.601914 0.692399 0.17082 
316 0.0487606 0.558763 -0.104522 -0.456208 
317 0.0264107 0.190612 -0.516081 -0.534069 
318 0.592824 0.763853 0.522534 0.559692 
319 0.959402 0.660222 -0.642954 -1.10869 
320 0.474299 0.0500118 -0.544908 0.41367 
